out,ST,CA,PPV,NPV,ME,VME,N
R,All STs,95.86%,95.95%,95.76%,4.05%,4.24%,12167
NWT,All STs,94.13%,97.88%,90.06%,1.98%,10.76%,12167
R,ST11,99.63%,99.62%,99.62%,25%,0%,268
R,ST147,98.9%,98.9%,98.9%,66.67%,0%,365
R,ST15,99.23%,99.35%,99.35%,31.25%,0.13%,784
R,ST16,99.75%,99.75%,99.75%,50%,0%,399
R,ST17,91.28%,82.09%,82.09%,8.89%,8.33%,195
R,ST231,97.8%,97.8%,97.8%,100%,0%,227
R,ST258,99.46%,99.46%,99.46%,100%,0%,555
R,ST307,99.32%,99.44%,99.44%,100%,0.11%,886
R,ST37,93.25%,95.24%,95.24%,1.83%,17.81%,237
R,ST45,89.38%,88.16%,88.16%,6.25%,18.29%,226
NWT,ST11,99.63%,99.62%,99.62%,25%,0%,268
NWT,ST147,98.9%,99.17%,99.17%,75%,0.28%,365
NWT,ST15,98.98%,99.35%,99.35%,38.46%,0.39%,784
NWT,ST16,99.75%,99.75%,99.75%,50%,0%,399
NWT,ST17,90.26%,95.71%,95.71%,2.68%,19.28%,195
NWT,ST231,98.24%,98.24%,98.24%,100%,0%,227
NWT,ST258,99.64%,99.64%,99.64%,100%,0%,555
NWT,ST307,99.32%,99.44%,99.44%,100%,0.11%,886
NWT,ST37,86.5%,98.53%,98.53%,0.72%,31.63%,237
NWT,ST45,88.05%,93.48%,93.48%,5.04%,19.63%,226
