out,ST,Categorical agreement,Sensitivity,Specificity,ME,VME,N
R,All STs,95.82%,95.81%,95.83%,4.17%,4.19%,12167
NWT,All STs,94.09%,91.37%,97.51%,2.49%,8.63%,12167
R,ST11,99.63%,100%,75%,25%,0%,268
R,ST147,98.9%,100%,33.33%,66.67%,0%,365
R,ST15,99.23%,99.87%,68.75%,31.25%,0.13%,784
R,ST16,99.75%,100%,50%,50%,0%,399
R,ST17,91.28%,91.67%,91.11%,8.89%,8.33%,195
R,ST231,97.8%,100%,0%,100%,0%,227
R,ST258,99.46%,100%,0%,100%,0%,555
R,ST307,99.32%,99.89%,0%,100%,0.11%,886
R,ST37,93.25%,82.19%,98.17%,1.83%,17.81%,237
R,ST45,89.38%,81.71%,93.75%,6.25%,18.29%,226
NWT,ST11,99.63%,100%,75%,25%,0%,268
NWT,ST147,98.9%,99.72%,25%,75%,0.28%,365
NWT,ST15,98.98%,99.61%,61.54%,38.46%,0.39%,784
NWT,ST16,99.75%,100%,50%,50%,0%,399
NWT,ST17,90.26%,80.72%,97.32%,2.68%,19.28%,195
NWT,ST231,98.24%,100%,0%,100%,0%,227
NWT,ST258,99.64%,100%,0%,100%,0%,555
NWT,ST307,99.32%,99.89%,0%,100%,0.11%,886
NWT,ST37,86.5%,68.37%,99.28%,0.72%,31.63%,237
NWT,ST45,88.05%,80.37%,94.96%,5.04%,19.63%,226
